Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
68147158,2026 Feb 27 10:50:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11219,5223 13 AVENUE,13 AVENUE,52 ST,53 ST,,,ADDRESS,BROOKLYN,,,Open,,,,12 BROOKLYN,BROOKLYN,"985,905","169,957",Unspecified,BROOKLYN,,,,,,,,40.63316911,-73.9940373,POINT (-73.994037299187 40.633169112641)
68150058,2026 Feb 27 10:47:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11219,5301 13 AVENUE,13 AVENUE,53 ST,54 ST,,,ADDRESS,BROOKLYN,,,Open,,,,12 BROOKLYN,BROOKLYN,"985,768","169,785",Unspecified,BROOKLYN,,,,,,,,40.63269703,-73.99453093,POINT (-73.994530927006 40.632697033631)
68151534,2026 Feb 27 10:41:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11373,,,,,75 STREET,BROADWAY,INTERSECTION,QUEENS,,,Open,,,,04 QUEENS,QUEENS,"1,014,628","211,168",Unspecified,QUEENS,,,,,,,,40.74623178,-73.89036715,POINT (-73.890367145324 40.746231783993)
68148630,2026 Feb 27 10:32:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10021,236 EAST   75 STREET,EAST   75 STREET,3 AVE,2 AVE,,,ADDRESS,NEW YORK,,,Open,,,,08 MANHATTAN,MANHATTAN,"995,807","220,287",Unspecified,MANHATTAN,,,,,,,,40.77130573,-73.95827561,POINT (-73.958275605191 40.771305728695)
68155923,2026 Feb 27 09:59:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10309,,,,,HYLAN BOULEVARD,CORNELIA AVENUE,INTERSECTION,STATEN ISLAND,,,Open,,,,03 STATEN ISLAND,STATEN ISLAND,"931,425","129,721",Unspecified,STATEN ISLAND,,,,,,,,40.52257213,-74.19000531,POINT (-74.190005306283 40.522572133925)
68151535,2026 Feb 27 09:41:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10011,16 WEST    9 STREET,WEST    9 STREET,5 AVE,BEND,,,ADDRESS,NEW YORK,,,Open,,,,02 MANHATTAN,MANHATTAN,"985,149","206,398",Unspecified,MANHATTAN,,,,,,,,40.73319145,-73.99675618,POINT (-73.996756184659 40.73319145021)
68151536,2026 Feb 27 08:56:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11422,144-02 254 STREET,254 STREET,BEND,147 AVE,,,ADDRESS,ROSEDALE,,,Open,,,,13 QUEENS,QUEENS,"1,058,107","179,357",Unspecified,QUEENS,,,,,,,,40.65866222,-73.73380292,POINT (-73.733802920762 40.658662215115)
68144045,2026 Feb 26 07:08:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11234,2201 EAST   70 STREET,EAST   70 STREET,AVENUE V,AVENUE W,,,ADDRESS,BROOKLYN,,,Open,,,,18 BROOKLYN,BROOKLYN,"1,010,330","164,263",Unspecified,BROOKLYN,,,,,,,,40.61750205,-73.90605996,POINT (-73.906059959019 40.617502047612)
68140761,2026 Feb 26 06:02:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11203,919 LINDEN BOULEVARD,LINDEN BOULEVARD,E 57 ST,E 58 ST,,,ADDRESS,BROOKLYN,,,Open,,,,17 BROOKLYN,BROOKLYN,"1,005,452","177,645",Unspecified,BROOKLYN,,,,,,,,40.65424579,-73.92358844,POINT (-73.92358843604 40.654245791021)
68132675,2026 Feb 26 05:41:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10310,204 MORRISON AVENUE,MORRISON AVENUE,BEMENT AVE,N BURGHER AVE,,,ADDRESS,STATEN ISLAND,,,Open,,,,01 STATEN ISLAND,STATEN ISLAND,"952,928","168,312",Unspecified,STATEN ISLAND,,,,,,,,40.62859872,-74.11284047,POINT (-74.112840469258 40.62859871625)
68139148,2026 Feb 26 04:08:00 PM,2026 Feb 27 07:06:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,605 5 AVENUE,5 AVENUE,16 ST,PROSPECT AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 27 07:06:00 AM,07 BROOKLYN,BROOKLYN,"986,916","181,306",Unspecified,BROOKLYN,,,,,,,,40.66431941,-73.99039034,POINT (-73.990390341999 40.66431941096)
68137552,2026 Feb 26 04:08:00 PM,2026 Feb 27 07:07:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,581 5 AVENUE,5 AVENUE,16 ST,PROSPECT AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 27 07:07:00 AM,07 BROOKLYN,BROOKLYN,"987,029","181,469",Unspecified,BROOKLYN,,,,,,,,40.66476678,-73.98998296,POINT (-73.989982963731 40.664766775071)
68139149,2026 Feb 26 03:59:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,605 5 AVENUE,5 AVENUE,16 ST,PROSPECT AVE,,,ADDRESS,BROOKLYN,,,Assigned,,"Please call 311 for further information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2026 Feb 27 10:00:00 AM,07 BROOKLYN,BROOKLYN,"986,916","181,306",Unspecified,BROOKLYN,,,,,,,,40.66431941,-73.99039034,POINT (-73.990390341999 40.66431941096)
68137553,2026 Feb 26 03:53:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10306,,,,,WILDER AVENUE,THOMAS STREET,INTERSECTION,STATEN ISLAND,,,Open,,,,03 STATEN ISLAND,STATEN ISLAND,"947,123","145,821",Unspecified,STATEN ISLAND,,,,,,,,40.56684311,-74.1336299,POINT (-74.133629895899 40.566843112436)
68140762,2026 Feb 26 02:50:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11219,5301 13 AVENUE,13 AVENUE,53 ST,54 ST,,,ADDRESS,BROOKLYN,,,Open,,,,12 BROOKLYN,BROOKLYN,"985,768","169,785",Unspecified,BROOKLYN,,,,,,,,40.63269703,-73.99453093,POINT (-73.994530927006 40.632697033631)
68134288,2026 Feb 26 01:56:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11421,90-12 JAMAICA AVENUE,JAMAICA AVENUE,90 ST,91 ST,,,ADDRESS,WOODHAVEN,,,Open,,,,09 QUEENS,QUEENS,"1,024,605","191,743",Unspecified,QUEENS,,,,,,,,40.69287501,-73.85447711,POINT (-73.854477114621 40.692875009142)
68142409,2026 Feb 26 01:47:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10034,3880 9 AVENUE,9 AVENUE,W 207 ST,DEAD END,,,ADDRESS,NEW YORK,,,Open,,,,12 MANHATTAN,MANHATTAN,"1,007,273","254,110",Unspecified,MANHATTAN,,,,,,,,40.86411788,-73.91676374,POINT (-73.916763735247 40.864117884465)
68132676,2026 Feb 26 11:14:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11377,41-58 56 STREET,56 STREET,ROOSEVELT AVE,43 AVE,,,ADDRESS,WOODSIDE,,,Open,,,,02 QUEENS,QUEENS,"1,009,546","210,641",Unspecified,QUEENS,,,,,,,,40.7448013,-73.90870983,POINT (-73.908709825414 40.744801299281)
68137554,2026 Feb 26 09:47:00 AM,2026 Feb 27 05:20:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11004,79-33 258 STREET,258 STREET,BEND,80 AVE,,,ADDRESS,GLEN OAKS,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2026 Feb 27 05:20:00 PM,13 QUEENS,QUEENS,"1,063,694","211,012",Unspecified,QUEENS,,,,,,,,40.74549893,-73.71329284,POINT (-73.713292844304 40.745498933248)
68135973,2026 Feb 26 08:47:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11368,129-02 NORTHERN BOULEVARD,NORTHERN BOULEVARD,WILLETS POINT BLVD,VAN WYCK EP SB EN NORTHERN BLVD,,,ADDRESS,CORONA,,,Open,,,,07 QUEENS,QUEENS,"1,028,610","216,849",Unspecified,QUEENS,,,,,,,,40.76176558,-73.83986934,POINT (-73.839869342961 40.761765575949)
68124123,2026 Feb 25 06:29:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,606 5 AVENUE,5 AVENUE,PROSPECT EXPY,17 ST,,,ADDRESS,BROOKLYN,,,Open,,,,07 BROOKLYN,BROOKLYN,"986,758","181,096",Unspecified,BROOKLYN,,,,,,,,40.66374305,-73.99095993,POINT (-73.990959934728 40.663743053653)
68119055,2026 Feb 25 06:23:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,606 5 AVENUE,5 AVENUE,PROSPECT EXPY,17 ST,,,ADDRESS,BROOKLYN,,,Open,,,,07 BROOKLYN,BROOKLYN,"986,758","181,096",Unspecified,BROOKLYN,,,,,,,,40.66374305,-73.99095993,POINT (-73.990959934728 40.663743053653)
68124124,2026 Feb 25 06:23:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,606 5 AVENUE,5 AVENUE,PROSPECT EXPY,17 ST,,,ADDRESS,BROOKLYN,,,Open,,,,07 BROOKLYN,BROOKLYN,"986,758","181,096",Unspecified,BROOKLYN,,,,,,,,40.66374305,-73.99095993,POINT (-73.990959934728 40.663743053653)
68125837,2026 Feb 25 06:17:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,605 5 AVENUE,5 AVENUE,16 ST,PROSPECT AVE,,,ADDRESS,BROOKLYN,,,Open,,,,07 BROOKLYN,BROOKLYN,"986,916","181,306",Unspecified,BROOKLYN,,,,,,,,40.66431941,-73.99039034,POINT (-73.990390341999 40.66431941096)
68130971,2026 Feb 25 06:05:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,605 5 AVENUE,5 AVENUE,16 ST,PROSPECT AVE,,,ADDRESS,BROOKLYN,,,Open,,,,07 BROOKLYN,BROOKLYN,"986,916","181,306",Unspecified,BROOKLYN,,,,,,,,40.66431941,-73.99039034,POINT (-73.990390341999 40.66431941096)
68120760,2026 Feb 25 05:53:00 PM,2026 Feb 25 05:56:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10458,441 EAST FORDHAM ROAD,EAST FORDHAM ROAD,MILL RIVER RD,WASHINGTON AVE,,,ADDRESS,BRONX,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 25 05:56:00 PM,06 BRONX,BRONX,"1,014,806","252,885",Unspecified,BRONX,,,,,,,,40.86073277,-73.88953489,POINT (-73.889534893799 40.860732771346)
68124125,2026 Feb 25 05:17:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11361,35-43 203 STREET,203 STREET,35 AVE,36 AVE,,,ADDRESS,BAYSIDE,,,Open,,,,11 QUEENS,QUEENS,"1,044,053","218,251",Unspecified,QUEENS,,,,,,,,40.76552272,-73.78411095,POINT (-73.784110949861 40.765522720655)
68122490,2026 Feb 25 04:44:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10306,141 HAVEN AVENUE,HAVEN AVENUE,ADAMS AVE,HUNTER AVE,,,ADDRESS,STATEN ISLAND,,,Started,,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,2026 Feb 25 08:10:00 PM,02 STATEN ISLAND,STATEN ISLAND,"956,932","150,202",Unspecified,STATEN ISLAND,,,,,,,,40.57890374,-74.09834245,POINT (-74.098342447279 40.578903739397)
68130972,2026 Feb 25 04:17:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10304,,,,,OSGOOD AVENUE,GORDON STREET,INTERSECTION,STATEN ISLAND,,,Started,,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,2026 Feb 26 09:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,"961,020","164,775",Unspecified,STATEN ISLAND,,,,,,,,40.61891531,-74.08367612,POINT (-74.083676122283 40.618915311361)
68124126,2026 Feb 25 03:59:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11422,259-62 147 DRIVE,147 DRIVE,259 ST,FRANCIS LEWIS BLVD,,,ADDRESS,ROSEDALE,,,Open,,,,13 QUEENS,QUEENS,"1,059,766","178,257",Unspecified,QUEENS,,,,,,,,40.65562898,-73.72783587,POINT (-73.72783587138 40.655628977782)
68124127,2026 Feb 25 03:38:00 PM,2026 Feb 25 06:30:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10025,755 AMSTERDAM AVENUE,AMSTERDAM AVENUE,W 96 ST,W 97 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2026 Feb 25 06:30:00 PM,07 MANHATTAN,MANHATTAN,"992,553","228,745",Unspecified,MANHATTAN,,,,,,,,40.79452434,-73.97001311,POINT (-73.970013111393 40.794524344881)
68125836,2026 Feb 25 03:26:00 PM,2026 Feb 25 06:10:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10458,1 FORDHAM PLAZA,FORDHAM PLAZA,MILL RIVER RD,WASHINGTON AVE,,,ADDRESS,BRONX,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2026 Feb 25 06:10:00 PM,06 BRONX,BRONX,"1,014,792","252,887",Unspecified,BRONX,,,,,,,,40.86073831,-73.8895855,POINT (-73.889585496999 40.860738309185)
68120761,2026 Feb 25 01:20:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11101,45-57 DAVIS STREET,DAVIS STREET,FLUSHING LINE,DEAD END,,,ADDRESS,LONG ISLAND CITY,,,Open,,,,02 QUEENS,QUEENS,"999,597","210,435",Unspecified,QUEENS,,,,,,,,40.74425874,-73.94461501,POINT (-73.944615008713 40.744258743222)
68127552,2026 Feb 25 09:32:00 AM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11238,54 LEFFERTS PLACE,LEFFERTS PLACE,ST JAMES PL,GRAND AVE,,,ADDRESS,BROOKLYN,,,Open,,,,02 BROOKLYN,BROOKLYN,"994,863","187,565",Unspecified,BROOKLYN,,,,,,,,40.681493,-73.96173535,POINT (-73.961735345864 40.681493000103)
68101744,2026 Feb 24 09:50:00 PM,2026 Feb 25 10:35:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11370,,,,,30 AVENUE,77 STREET,INTERSECTION,QUEENS,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2026 Feb 25 10:35:00 AM,03 QUEENS,QUEENS,"1,014,431","216,449",Unspecified,QUEENS,,,,,,,,40.76072745,-73.89105441,POINT (-73.891054405116 40.760727452521)
68095877,2026 Feb 24 07:59:00 PM,2026 Feb 25 10:15:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11372,35-28 87 STREET,87 STREET,35 AVE,37 AVE,,,ADDRESS,JACKSON HEIGHTS,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2026 Feb 25 10:15:00 AM,03 QUEENS,QUEENS,"1,017,528","213,069",Unspecified,QUEENS,,,,,,,,40.75143911,-73.87989178,POINT (-73.879891779606 40.751439107692)
68116095,2026 Feb 24 04:26:00 PM,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10304,230 MOSEL AVENUE,MOSEL AVENUE,LEEWOOD LOOP,LEEWOOD LOOP,,,ADDRESS,STATEN ISLAND,,,Started,,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,2026 Feb 25 08:40:00 AM,01 STATEN ISLAND,STATEN ISLAND,"962,128","161,525",Unspecified,STATEN ISLAND,,,,,,,,40.60999757,-74.07967438,POINT (-74.079674381356 40.609997572316)
